siren_code,assessment_id
200023414,2103
200046977,2756
200046977,4067
217500016,1258
217500016,2623
225005024,38
243300316,2288
221100019,2147
222400012,2205
228000014,23
228000014,2287
220900013,3947
220900013,3948
220900013,3949
221200017,474
221200017,3329
229102280,1321
222702292,2181
226100014,1377
228900015,3055
225400019,2980
225400019,3015
227100013,20
228200010,2217
221300015,450
228800017,3793
223200015,355
226800019,1114
225600014,2289
225900018,1783
229400288,787
229400288,3135
229300082,2962
227000015,1585
227000015,54
220300016,19
229102280,50
225700012,47
227900016,33
226700011,28
221700016,97
223300013,56
223300013,1733
225500016,2497
225700012,3076
225800010,3479
225800010,3480
229740014,83
227605409,2618
220100010,2761
220200026,1508
221100019,3799
223600016,2632
223800012,2602
224700013,803
227700010,2450
228400016,1852
228400016,2552
229200506,3286
228800017,1684
223500018,3354
226700011,3091
222500019,2550
226200012,4055
226900017,1680
